case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,totalage,refage,educ,income,race,polparty,polviewrot,polview,ideologynet,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,instype,he2z,partyln,partycomb,covi1a,covi1anet,covi1b,covi1bnet,covi1c,covi1cnet,covi1d,covi1dnet,covi2,covi3,covi4,covi4net,covi5,covi5net,covi6,covi6net,covi7,covi8,covi9,covi10,covi11,covi12rot,covi12
70000464,815,1.5844,MA,Center City (Metro),North East,Rented,Married,Homemaker,Three,Three, , , , ,50-64,45-64,Less than high school (Grades 1-8 or no formal schooling),"Less than $50,000 (Unspecified)",White Hispanic,An Independent,d3 1-5 asked,Somewhat liberal,Liberal Net,No,Female,"Catholic, Roman Catholic",Cell phone in language, ,"No, no home telephone",Another Country,200417,"Yes, covered by health insurance",Don't Know, , ,Refused/No answer,Refused,Good,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not so good,Not so good/poor,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Somewhat concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,Yes,No,Yes,"Yes, wore mask or face covering",By the end of May,slowly/quickly,Quickly
70000466,815,.4992,MA,Center City (Metro),North East,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone", ,200417, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,Yes,Yes,Yes,Never left home,Later in 2020,slowly/quickly,Slowly
70000467,815,.9727,NY,Center City (Metro),North East,Rented,"Single, that is never married",Temporarily unemployed,One,One, , , , ,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$25,000 but less than $30,000",Black Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Baptist,Cell Phone sample, ,"No, no home telephone", ,200417,"No, not covered by health insurance", , , ,Republican,Republican/leans Republican,Excellent,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,Yes,Yes,Yes,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Quickly
70000468,815,.5293,NY,Center City County (Metro),North East,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Protestant,Cell Phone sample, ,"Yes, has a home telephone", ,200417, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Not employed,Not employed,"Yes, serious stress",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
70000469,815,.7351,PA,No metro status,North East,Owned,Married,Full-time,Two,Two, , , , ,30-49,Refused,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Refused,White Non-Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
70000470,815,1.5487,CA,Center City County (Metro),West,Owned,"Single, that is never married",Full-time,Four,Four, , , , ,18-29,18-29,Two year associate degree from a college or university,"$100,000 to under $150,000",Black Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,No,Female,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Neither/other,Independent/other,Poor,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,Good,Excellent/good,Not a source of stress,Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
70000471,815,1.3144,NH,Surburban (Metro),North East,Owned,Married,Temporarily unemployed,Five,Four,None,None,One,No,50-64,45-64,Two year associate degree from a college or university,"$100,000 to under $150,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not a source of stress,Yes,Not too concerned,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Quickly
70000473,815,.7188,NY,No metro status,North East,Rented,"Single, that is never married",Temporarily unemployed,One,One, , , , ,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$25,000 but less than $30,000",White Non-Hispanic,Refused,d3 1-5 asked,Refused,Refused,No,Male,Nothing in particular,Cell Phone sample, ,"No, no home telephone", ,200417,"No, not covered by health insurance", , , ,Neither/other,Independent/other,Not so good,Not so good/poor,Poor,Not so good/poor,Not so good,Not so good/poor,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
70000474,815,.9479,TN,Center City County (Metro),South,Owned,Married,Full-time,Six or more,Four,None,None,Two,No,30-49,30-44,Two year associate degree from a college or university,"$40,000 but less than $50,000",Refused,An Independent,d3 5-1 asked,Very liberal,Liberal Net,No,Male,Other,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"No, not covered by health insurance", , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Poor,Not so good/poor,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Very worried,Very/somewhat worried,Yes,No,Yes,"Yes, wore mask or face covering",Or will it take longer than that,quickly/slowly,Slowly
70000475,815,1.53,PA,Non-Metro,North East,Owned,Married,Full-time,Three,Three, , , , ,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",Later in 2020,slowly/quickly,Slowly
70000478,815,1.2723,NJ,Non-Center City (Metro),North East,Rented,"Single, that is never married",Part-time,Three,Three, , , , ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",Unspecified Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,No,Male,Nothing in particular,Cell Phone sample, ,"No, no home telephone",Another Country,200417,"No, not covered by health insurance", , , ,Neither/other,Independent/other,Poor,Not so good/poor,Poor,Not so good/poor,Not so good,Not so good/poor,Excellent,Excellent/good,Not a source of stress,Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
70000479,815,.9193,PA,Non-Metro,North East,Owned,Married,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $50,000 (Unspecified)",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Christian (Just Christian),Cell Phone sample, ,"Yes, has a home telephone", ,200417, , , , ,Neither/other,Independent/other,Refused,Refused,Refused,Refused,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,Don't know,quickly/slowly,Slowly
70000480,815,.4264,GA,Center City County (Metro),South,Owned,"Single, that is never married",Full-time,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"Yes, has a home telephone", ,200417, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
70000484,815,.8949,FL,No metro status,South,Owned,Married,Full-time,Two,Two, , , , ,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$150,000 to under $200,000",White Non-Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Female,Christian (Just Christian),Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,slowly/quickly,Slowly
70000485,815,1.6655,VA,Non-Metro,South,Rented,"Single, that is never married",Student,Two,Two, , , , ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"Less than $15,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,No,Male,Nothing in particular,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Refused, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Not so good,Not so good/poor,Not employed,Not employed,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,Yes,No,No,"Yes, wore mask or face covering",Later in 2020,slowly/quickly,Quickly
70000487,815,1.8461,CA,Center City (Metro),West,Rented,"Single, that is never married",Full-time,One,One, , , , ,18-29,18-29,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$25,000 but less than $30,000",Asian/Chinese/Japanese,An Independent,d3 1-5 asked,Somewhat liberal,Liberal Net,No,Female,Nothing in particular,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,From healthcare.gov/state-specific marketplace, ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,Yes,Yes,No,"Yes, wore mask or face covering",Or will it take longer than that,quickly/slowly,Quickly
70000488,815,1.8308,FL,Center City County (Metro),South,Owned,Divorced,Disabled/Handicapped,Three,Three, , , , ,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),Don't know,White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,No,Female,Jewish/Judaism,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Medicare, , ,Republican,Republican/leans Republican,Poor,Not so good/poor,Good,Excellent/good,Not so good,Not so good/poor,Not employed,Not employed,"Yes, serious stress",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of April,quickly/slowly,Quickly
70000489,815,.5248,NC,Non-Metro,South,Owned,Married,Homemaker,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Protestant,Cell Phone sample, ,"Yes, has a home telephone", ,200417, , , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,Yes,Yes,No,Never left home,Or will it take longer than that,slowly/quickly,Slowly
70000490,815,.6867,VA,Surburban (Metro),South,Owned,Married,Full-time,Three,Two,None,None,One,Yes,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$150,000 to under $200,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Good,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Quickly
70000491,815,.7037,CA,Center City County (Metro),West,Rented,"Single, living with a partner",Full-time,Three,Three, , , , ,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",Unspecified Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,No,Male,Atheist,Cell Phone sample, ,"No, no home telephone",Another Country,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
70000492,815,1.1239,GA,No metro status,South,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Hispanic,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Baptist,Cell Phone sample, ,"No, no home telephone",Another Country,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Good,Excellent/good,Not so good,Not so good/poor,Good,Excellent/good,Not so good,Not so good/poor,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
70000493,815,1.1383,GA,Surburban (Metro),South,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Male,Baptist,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Poor,Not so good/poor,Excellent,Excellent/good,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Quickly
70000494,815,1.4049,FL,No metro status,South,Rented,"Single, living with a partner",Temporarily unemployed,Two,Two, , , , ,30-49,45-64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$15,000 but less than $25,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,No,Female,Christian (Just Christian),Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Medicaid/state-specific Medicaid plan, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Don't know,Don't know,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,Or will it take longer than that,slowly/quickly,Don't know
70000495,815,.9871,GA,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,Two year associate degree from a college or university,"Less than $15,000",White Non-Hispanic,A Republican,d3 1-5 asked,Very conservative,Conservative Net,No,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Quickly
70000496,815,.7587,CA,Non-Metro,West,Owned,"Single, that is never married",Full-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,No,Female,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200417, , , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Not too concerned,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
70000497,815,.7971,MI,Center City (Metro),North Central,Owned,"Single, that is never married",Temporarily unemployed,One,One, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",Refused,Refused,d3 5-1 asked,Refused,Refused,Refused,Female,Refused,Cell Phone sample, ,"No, no home telephone", ,200417,"No, not covered by health insurance", , , ,Refused/No answer,Refused,Poor,Not so good/poor,Excellent,Excellent/good,Excellent,Excellent/good,Poor,Not so good/poor,"Yes, serious stress",Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Very worried,Very/somewhat worried,Yes,Yes,Yes,"Yes, wore mask or face covering",Later in 2020,slowly/quickly,Slowly
70000498,815,1.0647,MD,Center City (Metro),South,Owned,Widowed,Part-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$40,000 but less than $50,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Baptist,Cell Phone sample, ,"No, no home telephone", ,200417, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of June,quickly/slowly,Slowly
70000502,815,1.0791,VA,Surburban (Metro),South,Owned,Separated,Retired,One,One, , , , ,50-64,45-64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$40,000 but less than $50,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Refused, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Poor,Not so good/poor,Refused,Refused,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Refused,quickly/slowly,Slowly
70000503,815,1.1161,GA,Center City County (Metro),South,Owned,Married,Full-time,Four,Two,None,One,One,Yes,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Refused,Refused,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Refused,Male,Refused,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Refused,Refused,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of April,slowly/quickly,Refused
70000504,815,.5496,FL,Center City (Metro),South,Owned,Divorced,Full-time,Two,One,One,None,None,Yes,50-64,45-64,Two year associate degree from a college or university,"$75,000 but less than $100,000",White Non-Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Not so good,Not so good/poor,Good,Excellent/good,"Yes, stress, but not serious",Yes,Not concerned at all,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,Yes,No,No,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
70000506,815,1.0001,VA,Surburban (Metro),South,Owned,Married,Full-time,Four,Two,Two,None,None,Yes,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Hispanic,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,Nothing in particular,Cell Phone sample, ,"No, no home telephone",Another Country,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Poor,Not so good/poor,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,Yes,No,Yes,"Yes, wore mask or face covering",Or will it take longer than that,quickly/slowly,Quickly
70000507,815,1.2295,OH,Center City (Metro),North Central,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$200,000 to under $250,000",White Non-Hispanic,A Republican,d3 1-5 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,By the end of May,slowly/quickly,Slowly
70000508,815,1.4704,GA,Center City (Metro),South,Owned,Married,Full-time,Six or more,Four,Two,None,None,Yes,30-49,45-64,Two year associate degree from a college or university,"$40,000 but less than $50,000",Black Non-Hispanic,An Independent,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Female,Baptist,Cell Phone sample, ,"No, no home telephone", ,200417,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,No, , ,"No, did not wear mask or face covering",By the end of July,slowly/quickly,Slowly
70000509,815,.9548,CO,Non-Metro,West,Owned,"Single, living with a partner",Full-time,Four,Four, , , , ,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",Mixed,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Agnostic,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,From healthcare.gov/state-specific marketplace, ,Republican,Republican/leans Republican,Not so good,Not so good/poor,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
70000510,815,1.5563,OH,Center City (Metro),North Central,Owned,Widowed,Part-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$40,000 but less than $50,000",Black Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Baptist,Cell Phone sample, ,"No, no home telephone", ,200417, , , , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Not too worried,Not too/not worried at all,Yes,Yes,No,Never left home,By the end of June,quickly/slowly,Quickly
70000511,815,1.6941,GA,Center City (Metro),South,Owned,"Single, that is never married",Student,Three,Three, , , , ,18-29,18-29,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$25,000 but less than $30,000",Black Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Cell Phone sample, ,"Yes, has a home telephone", ,200417,"Yes, covered by health insurance",Plan through your parents/mother/father, , ,Neither/other,Independent/other,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",Yes,Not concerned at all,Not too/not concerned at all,Somewhat concerned,Very concerned/somewhat concerned,Not worried at all,Not too/not worried at all,Yes,Yes,No,"No, did not wear mask or face covering",By the end of June,slowly/quickly,Quickly
70000512,815,2.4025,UT,Non-Metro,West,Owned,Married,Full-time,Four,Two,Two,None,None,Yes,18-29,18-29,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",White Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Cell Phone sample, ,"No, no home telephone",United States,200417,"No, not covered by health insurance", , , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",By the end of April,quickly/slowly,Quickly
